Date,Price,Open,High,Low,Vol.(millions),Change
12-06-2024,177.29,171.12,180.55,169.8,90.39,0.0388
11-06-2024,170.66,173.92,174.75,167.41,64.76,-0.018
10-06-2024,173.79,176.06,178.57,173.17,50.87,-0.0208
07-06-2024,177.48,176.13,179.35,175.58,56.25,-0.0026
06-06-2024,177.94,174.6,179.73,172.73,69.89,0.0168
05-06-2024,175,175.35,176.15,172.13,57.95,0.0013
04-06-2024,174.77,174.77,177.76,174,60.06,-0.0086
03-06-2024,176.29,178.13,182.64,174.49,68.57,-0.0101
31-05-2024,178.08,178.5,180.32,173.82,67.32,-0.004
30-05-2024,178.79,178.57,182.67,175.38,77.79,0.0148
29-05-2024,176.19,174.19,178.15,173.93,54.78,-0.0032
28-05-2024,176.75,176.4,178.25,173.16,59.74,-0.0139
24-05-2024,179.24,174.84,180.08,173.73,65.58,0.0317
23-05-2024,173.74,181.8,181.9,173.26,71.98,-0.0354
22-05-2024,180.11,182.85,183.8,178.12,88.31,-0.0348
21-05-2024,186.6,175.51,186.88,174.71,115.27,0.0666
20-05-2024,174.95,177.56,177.75,173.52,61.73,-0.0141
17-05-2024,177.46,173.55,179.63,172.75,77.45,0.015
16-05-2024,174.84,174.1,175.79,171.43,59.81,0.0049
15-05-2024,173.99,179.9,180,173.11,79.66,-0.0201
14-05-2024,177.55,174.5,179.49,174.07,86.41,0.0329
13-05-2024,171.89,170,175.4,169,67.02,0.0203
10-05-2024,168.47,173.05,173.06,167.75,72.63,-0.0204
09-05-2024,171.97,175.01,175.62,171.37,65.95,-0.0157
08-05-2024,174.72,171.59,176.06,170.15,79.97,-0.0174
07-05-2024,177.81,182.4,183.26,177.4,75.05,-0.0376
06-05-2024,184.76,183.8,187.56,182.2,84.39,0.0197
03-05-2024,181.19,182.1,184.78,178.42,75.49,0.0066
02-05-2024,180.01,182.86,184.6,176.02,89.15,0.0001
01-05-2024,179.99,182,185.86,179.01,92.83,-0.018
30-04-2024,183.28,186.98,190.95,182.84,127.03,-0.0555
29-04-2024,194.05,188.42,198.87,184.54,243.87,0.1531
26-04-2024,168.29,168.85,172.12,166.37,109.82,-0.0111
25-04-2024,170.18,158.96,170.88,158.36,126.43,0.0497
24-04-2024,162.13,162.84,167.97,157.51,181.18,0.1206
23-04-2024,144.68,143.33,147.26,141.11,124.55,0.0185
22-04-2024,142.05,140.56,144.44,138.8,107.1,-0.034
19-04-2024,147.05,148.97,150.94,146.22,87.08,-0.0192
18-04-2024,149.93,151.25,152.2,148.7,96.1,-0.0355
17-04-2024,155.45,157.64,158.33,153.78,82.44,-0.0106
16-04-2024,157.11,156.74,158.19,153.75,97,-0.0271
15-04-2024,161.48,170.24,170.69,161.38,100.25,-0.0559
12-04-2024,171.05,172.34,173.81,170.36,64.72,-0.0203
11-04-2024,174.6,172.55,175.88,168.51,94.52,0.0165
10-04-2024,171.76,173.04,174.93,170.01,84.53,-0.0289
09-04-2024,176.88,172.91,179.22,171.92,103.23,0.0225
08-04-2024,172.98,169.34,174.5,167.79,104.42,0.049
05-04-2024,164.9,169.08,170.86,160.51,143.16,-0.0363
04-04-2024,171.11,170.07,177.19,168.01,123.16,0.0162
03-04-2024,168.38,164.02,168.82,163.28,82.95,0.0105
02-04-2024,166.63,164.75,167.69,163.43,116.65,-0.049
01-04-2024,175.22,176.17,176.75,170.21,81.56,-0.0032
28-03-2024,175.79,177.45,179.57,175.3,77.66,-0.0225
27-03-2024,179.83,181.41,181.91,176,81.8,0.0122
26-03-2024,177.67,178.58,184.25,177.38,113.19,0.0292
25-03-2024,172.63,168.76,175.24,168.73,74.23,0.0105
22-03-2024,170.83,166.69,171.2,166.3,75.58,-0.0115
21-03-2024,172.82,176.39,178.18,171.8,73.18,-0.0162
20-03-2024,175.66,173,176.25,170.82,83.85,0.0253
19-03-2024,171.32,172.36,172.82,167.42,77.27,-0.0143
18-03-2024,173.8,170.02,174.72,165.9,108.21,0.0625
15-03-2024,163.57,163.16,165.18,160.76,97.15,0.0066
14-03-2024,162.5,167.77,171.17,160.51,126.33,-0.0412
13-03-2024,169.48,173.05,176.05,169.15,106.53,-0.0454
12-03-2024,177.54,177.77,179.43,172.41,87.39,-0.0013
11-03-2024,177.77,175.45,182.87,174.8,85.39,0.0139
08-03-2024,175.34,181.5,182.73,174.7,85.55,-0.0185
07-03-2024,178.65,174.35,180.04,173.7,102.13,0.012
06-03-2024,176.54,179.99,181.58,173.7,107.92,-0.0232
05-03-2024,180.74,183.05,184.59,177.57,119.66,-0.0393
04-03-2024,188.14,198.73,199.75,186.72,134.34,-0.0716
01-03-2024,202.64,200.52,204.52,198.5,82.24,0.0038
29-02-2024,201.88,204.18,205.28,198.45,85.91,-0.0008
28-02-2024,202.04,200.42,205.3,198.44,99.81,0.0116
27-02-2024,199.73,204.04,205.6,198.26,108.65,0.0017
26-02-2024,199.4,192.29,201.78,192,111.75,0.0387
23-02-2024,191.97,195.31,197.57,191.5,78.84,-0.0276
22-02-2024,197.41,194,198.32,191.36,92.74,0.0136
21-02-2024,194.77,193.36,199.44,191.95,103.84,0.0052
20-02-2024,193.76,196.13,198.6,189.13,104.55,-0.031
16-02-2024,199.95,202.06,203.17,197.4,111.35,-0.0025
15-02-2024,200.45,189.16,200.88,188.86,120.83,0.0622
14-02-2024,188.71,185.3,188.89,183.35,81.2,0.0255
13-02-2024,184.02,183.99,187.26,182.11,86.76,-0.0218
12-02-2024,188.13,192.11,194.73,187.28,95.5,-0.0281
09-02-2024,193.57,190.18,194.12,189.48,84.48,0.0212
08-02-2024,189.56,189,191.62,185.58,83.03,0.0106
07-02-2024,187.58,188.18,189.79,182.68,111.54,0.0134
06-02-2024,185.1,177.21,186.49,177.11,122.68,0.0223
05-02-2024,181.06,184.26,184.68,175.01,134.29,-0.0365
02-02-2024,187.91,185.04,188.69,182,110.61,-0.005
01-02-2024,188.86,188.5,189.88,184.28,91.84,0.0084
31-01-2024,187.29,186.99,193.97,185.85,103.22,-0.0224
30-01-2024,191.59,195.33,196.36,190.61,109.98,0.0035
29-01-2024,190.93,185.63,191.48,183.67,125.01,0.0419
26-01-2024,183.25,185.5,186.78,182.1,107.34,0.0034
25-01-2024,182.63,189.7,193,180.06,198.08,-0.1213
24-01-2024,207.83,211.88,212.73,206.77,123.37,-0.0063
23-01-2024,209.14,211.3,215.65,207.75,106.61,0.0016
22-01-2024,208.8,212.26,217.8,206.27,117.95,-0.016
19-01-2024,212.19,209.99,213.19,207.56,102.26,0.0015
18-01-2024,211.88,216.88,217.45,208.74,108.6,-0.017
17-01-2024,215.55,214.86,215.67,212.01,103.16,-0.0198
16-01-2024,219.91,215.1,223.49,212.18,115.36,0.0047
12-01-2024,218.89,220.08,225.34,217.15,123.04,-0.0367
11-01-2024,227.22,230.57,230.93,225.37,105.87,-0.0287
10-01-2024,233.94,235.1,235.5,231.29,91.63,-0.0043
09-01-2024,234.96,238.11,238.96,232.04,96.71,-0.0228
08-01-2024,240.45,236.14,241.25,235.3,85.17,0.0125
05-01-2024,237.49,236.86,240.12,234.9,92.49,-0.0018
04-01-2024,237.93,239.25,242.7,237.73,102.63,-0.0022
03-01-2024,238.45,244.98,245.68,236.32,121.08,-0.0401
02-01-2024,248.42,250.08,251.25,244.41,104.65,-0.0002
29-12-2023,248.48,255.1,255.19,247.43,100.89,-0.0186
28-12-2023,253.18,263.66,265.13,252.71,113.62,-0.0316
27-12-2023,261.44,258.35,263.34,257.52,106.49,0.0188
26-12-2023,256.61,254.49,257.97,252.91,86.89,0.0161
22-12-2023,252.54,256.76,258.22,251.37,93.37,-0.0077
21-12-2023,254.5,251.9,254.8,248.55,109.59,0.0298
20-12-2023,247.14,256.41,259.84,247,125.1,-0.0392
19-12-2023,257.22,253.48,258.34,253.01,106.74,0.0204
18-12-2023,252.08,253.78,258.74,251.36,116.42,-0.0056
15-12-2023,253.5,251.21,254.13,248.3,135.93,0.0098
14-12-2023,251.05,241.22,253.88,240.79,160.83,0.0491
13-12-2023,239.29,234.19,240.3,228.2,146.29,0.0096
12-12-2023,237.01,238.55,238.99,233.87,95.33,-0.0114
11-12-2023,239.74,242.74,243.44,237.45,97.91,-0.0168
08-12-2023,243.84,240.27,245.27,239.27,103.13,0.0049
07-12-2023,242.64,241.55,244.08,236.98,107.14,0.0137
06-12-2023,239.37,242.92,246.57,239.17,126.44,0.0027
05-12-2023,238.72,233.87,246.66,233.7,137.97,0.0133
04-12-2023,235.58,235.75,239.37,233.29,104.1,-0.0136
01-12-2023,238.83,233.14,240.19,231.9,121.33,-0.0052
30-11-2023,240.08,245.14,245.22,236.91,132.35,-0.0166
29-11-2023,244.14,249.21,252.75,242.76,135.4,-0.0105
28-11-2023,246.72,236.68,247,234.01,148.55,0.0451
27-11-2023,236.08,236.89,238.33,232.1,112.03,0.0027
24-11-2023,235.45,233.75,238.75,232.33,65.13,0.0053
22-11-2023,234.21,242.04,244.01,231.4,118.12,-0.029
21-11-2023,241.2,235.04,243.62,233.34,122.29,0.0238
20-11-2023,235.6,234.04,237.1,231.02,116.56,0.0055
17-11-2023,234.3,232,237.39,226.54,142.77,0.003
16-11-2023,233.59,239.49,240.88,230.96,136.82,-0.0381
15-11-2023,242.84,239.29,246.7,236.45,150.35,0.0229
14-11-2023,237.41,235.03,238.13,230.72,149.77,0.0612
13-11-2023,223.71,215.6,225.4,211.61,140.45,0.0422
10-11-2023,214.65,210.03,215.38,205.69,131.31,0.0222
09-11-2023,209.98,219.75,220.8,206.68,142.11,-0.0546
08-11-2023,222.11,223.15,224.15,217.64,106.59,-0.0003
07-11-2023,222.18,219.98,223.12,215.72,116.9,0.0133
06-11-2023,219.27,223.98,226.32,215,117.34,-0.0031
03-11-2023,219.96,221.15,226.37,218.4,119.54,0.0066
02-11-2023,218.51,212.97,219.2,211.45,125.99,0.0625
01-11-2023,205.66,204.04,205.99,197.85,121.66,0.024
31-10-2023,200.84,196.12,202.8,194.07,118.07,0.0176
30-10-2023,197.36,209.28,210.88,194.67,136.45,-0.0479
27-10-2023,207.3,210.6,212.41,205.77,94.88,0.0075
26-10-2023,205.76,211.32,214.8,204.88,115.11,-0.0314
25-10-2023,212.42,215.88,220.1,212.2,107.07,-0.0189
24-10-2023,216.52,216.5,222.05,214.11,118.23,0.0209
23-10-2023,212.08,210,216.98,202.51,150.68,0.0004
20-10-2023,211.99,217.01,218.86,210.42,138.01,-0.0369
19-10-2023,220.11,225.95,230.61,216.78,170.77,-0.093
18-10-2023,242.68,252.7,254.63,242.08,125.15,-0.0478
17-10-2023,254.85,250.1,257.18,247.08,93.56,0.0037
16-10-2023,253.92,250.05,255.4,248.48,88.92,0.0112
13-10-2023,251.12,258.9,259.6,250.22,102.3,-0.0299
12-10-2023,258.87,262.92,265.41,256.63,111.51,-0.0157
11-10-2023,262.99,266.2,268.6,260.9,103.71,-0.0024
10-10-2023,263.62,257.75,268.94,257.65,122.66,0.0152
09-10-2023,259.67,255.31,261.36,252.05,101.38,-0.0033
06-10-2023,260.53,253.98,261.65,250.65,118.12,0.0018
05-10-2023,260.05,260,263.6,256.25,119.16,-0.0043
04-10-2023,261.16,248.14,261.86,247.6,129.72,0.0593
03-10-2023,246.53,248.61,250.02,244.45,101.99,-0.0202
02-10-2023,251.6,244.81,254.28,242.62,123.81,0.0055
29-09-2023,250.22,250,254.77,246.35,128.52,0.0156
28-09-2023,246.38,240.02,247.55,238.65,117.06,0.0244
27-09-2023,240.5,244.26,245.33,234.58,136.6,-0.0148
26-09-2023,244.12,242.98,249.55,241.66,101.99,-0.0116
25-09-2023,246.99,243.38,247.1,238.31,104.64,0.0086
22-09-2023,244.88,257.4,257.79,244.48,127.52,-0.0423
21-09-2023,255.7,257.85,260.86,254.21,119.95,-0.0262
20-09-2023,262.59,267.04,273.93,262.46,122.52,-0.0147
19-09-2023,266.5,264.35,267.85,261.2,103.7,0.0046
18-09-2023,265.28,271.16,271.44,263.76,101.54,-0.0332
15-09-2023,274.39,277.55,278.98,271,133.69,-0.006
14-09-2023,276.04,271.32,276.71,270.42,107.71,0.0175
13-09-2023,271.3,270.07,274.98,268.1,111.67,0.0143
12-09-2023,267.48,270.76,278.39,266.6,136,-0.0223
11-09-2023,273.58,264.27,274.85,260.61,174.67,0.1009
08-09-2023,248.5,251.22,256.52,246.67,118.56,-0.0119
07-09-2023,251.49,245.07,252.81,243.26,115.31,-0.0017
06-09-2023,251.92,255.13,255.39,245.06,116.96,-0.0178
05-09-2023,256.49,245,258,244.86,129.47,0.0469
01-09-2023,245.01,257.26,259.08,242.01,132.54,-0.0506
31-08-2023,258.08,255.98,261.18,255.05,108.86,0.0046
30-08-2023,256.9,254.2,260.51,250.59,121.99,-0.0011
29-08-2023,257.18,238.58,257.48,237.77,134.05,0.0769
28-08-2023,238.82,242.58,244.38,235.35,107.67,0.001
25-08-2023,238.59,231.31,239,230.35,106.61,0.0372
24-08-2023,230.04,238.66,238.92,228.18,99.78,-0.0288
23-08-2023,236.86,229.34,238.98,229.29,101.08,0.0157
22-08-2023,233.19,240.25,240.82,229.55,130.6,0.0083
21-08-2023,231.28,221.55,232.13,220.58,135.7,0.0733
18-08-2023,215.49,214.12,217.58,212.36,136.28,-0.017
